anno,ateneo,area,gruppo,classe_laurea,classe_des,nome_corso,level,provincia,comune,accesso,didattica
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,VERONA,VERONA,nazionale,in presenza
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Ortopediche (Abilitante alla Professione Sanitaria di Tecnico Ortopedico),triennale,VERONA,VERONA,nazionale,in presenza
2024,Bari,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BARI,BARI,nazionale,in presenza
2024,Bari,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BARI,CASTELLANA GROTTE,nazionale,in presenza
2024,Bari,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BRINDISI,BRINDISI,nazionale,in presenza
2024,Bari,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,TARANTO,TARANTO,nazionale,in presenza
2024,Bari,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o),triennale,BARI,BARI,nazionale,in presenza
2024,Bologna,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BOLOGNA,BOLOGNA,nazionale,in presenza
2024,Bologna,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,RAVENNA,FAENZA,nazionale,in presenza
2024,Bologna,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,RIMINI,RIMINI,nazionale,in presenza
2024,Bologna,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o),triennale,BOLOGNA,BOLOGNA,nazionale,in presenza
2024,Brescia,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BERGAMO,ALZANO LOMBARDO,nazionale,in presenza
2024,Brescia,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BRESCIA,BRESCIA,nazionale,in presenza
2024,Brescia,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BRESCIA,CHIARI,nazionale,in presenza
2024,Brescia,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BRESCIA,DESENZANO DEL GARDA,nazionale,in presenza
2024,Brescia,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),triennale,BRESCIA,ESINE,nazionale,in presenza
