cod_ateneo,nome_esteso,nome_operativo,type,kind_descrizione,statale_libera,status,citta,provincia,regione,macro_regione,wikidata_qid,wikidata_enLabel,wikidata_coord,wikidata_website
05807,Università degli studi Roma Tre,Roma Tre,statale,Università,S,A,ROMA,ROMA,LAZIO,CENTRO,Q2297486,Università degli Studi Roma Tre,Point(12.478888888 41.8625),https://www.uniroma3.it/en/
05808,Università Campus Bio-Medico di Roma,Roma Biomedico,non-statale,Università,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05809,Università degli Studi Internazionali di Roma – UNINT,Roma UNINT,non-statale,Università,L,A,ROMA,ROMA,LAZIO,CENTRO,Q939801,Università degli Studi Internazionali di Roma – UNINT,Point(12.4963 41.8602),https://www.unint.eu
05810,Università telematica Guglielmo Marconi di Roma,Roma Marconi - telematica,telematica,Universita Telematica,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05811,Università telematica Unitelma Sapienza di Roma,Roma UNITELMA - telematica,telematica,Universita Telematica,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05812,Università Europea di Roma,Roma Europea,non-statale,Università,L,A,ROMA,ROMA,LAZIO,CENTRO,Q1274578,Università Europea di Roma,Point(12.395647 41.8777),https://www.uer.it
05813,Università telematica internazionale UNINETTUNO di Roma,Roma UNINETTUNO - telematica,telematica,Universita Telematica,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05814,Universitas telematica Mercatorum di Roma,Roma  Mercatorum - telematica,telematica,Universita Telematica,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05815,Università telematica Niccolò Cusano di Roma,Roma UNICUSANO - telematica,telematica,Universita Telematica,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05816,"Università telematica ""San Raffaele"" di Roma - già ""UNITEL""",Roma San Raffaele - telematica,telematica,Universita Telematica,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05817,Link Campus University di Roma,Roma Link Campus,non-statale,Università,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05818,Saint Camillus International University of Health,Roma Saint Camillus,non-statale,Università,L,A,ROMA,ROMA,LAZIO,CENTRO,Q60741027,Saint Camillus International University of Health and Medical Sciences,Point(12.602432 41.93422),https://www.unicamillus.org
05819,Centro Alti Studi per la Difesa (CASD) di Roma,Roma - CASD,statale,Scuola Superiore ad Ordinamento Speciale,S,A,ROMA,ROMA,LAZIO,CENTRO,,,,
06001,Università degli Studi di Cassino e del Lazio Meridionale,Cassino,statale,Università,S,A,CASSINO,FROSINONE,LAZIO,CENTRO,Q504263,University of Cassino,Point(13.8281725 41.471786111),http://www.unicas.it
06201,Università degli Studi del Sannio,Sannio,statale,Università,S,A,BENEVENTO,BENEVENTO,CAMPANIA,SUD,Q3551769,University of Sannio,Point(14.7814067 41.127368),https://www.unisannio.it
06202,"Università telematica ""Giustino Fortunato"" di Benevento",Benevento Giustino Fortunato - telematica,telematica,Universita Telematica,L,A,BENEVENTO,BENEVENTO,CAMPANIA,SUD,,,,
06301,Università degli studi di Napoli Federico II,Napoli Federico II,statale,Università,S,A,NAPOLI,NAPOLI,CAMPANIA,SUD,Q691851,University of Naples Federico II,Point(14.2569 40.8472),https://www.unina.it
06302,Università degli studi di Napoli - Parthenope,Napoli Parthenope,statale,Università,S,A,NAPOLI,NAPOLI,CAMPANIA,SUD,Q3551650,Parthenope University of Naples,Point(14.253833333 40.837611111),https://www.uniparthenope.it
06303,Università degli studi L'Orientale di Napoli,Napoli L'Orientale,statale,Università,S,A,NAPOLI,NAPOLI,CAMPANIA,SUD,Q1632525,Naples Eastern University,Point(14.255 40.845),https://www.unior.it/
06304,Università degli studi Suor Orsola Benincasa di Napoli,Napoli Benincasa,non-statale,Università,L,A,NAPOLI,NAPOLI,CAMPANIA,SUD,,,,
06305,Istituto Superiore di Educazione Fisica di Napoli,Napoli ISEF,non-statale,ISEF,L,M,,NAPOLI,CAMPANIA,SUD,,,,
06306,"Università degli studi della Campania ""Luigi Vanvitelli""",Napoli Vanvitelli,statale,Università,S,A,CASERTA,CASERTA,CAMPANIA,SUD,Q3551649,"University of Campania ""Luigi Vanvitelli""",Point(14.3307853 41.0677696),https://www.unicampania.it
06307,"Università telematica ""Pegaso"" di Napoli",Napoli Pegaso - telematica,telematica,Universita Telematica,L,A,NAPOLI,NAPOLI,CAMPANIA,SUD,,,,
06308,Scuola Superiore Meridionale di Napoli,Napoli Meridionale,statale,Scuola Superiore ad Ordinamento Speciale,S,A,NAPOLI,NAPOLI,CAMPANIA,SUD,,,,
06501,Università degli studi di Salerno,Salerno,statale,Università,S,A,FISCIANO - SALERNO,SALERNO,CAMPANIA,SUD,Q1633215,University of Salerno,Point(14.790555555 40.771111111),https://www.unisa.it
06601,Università degli studi di L'Aquila,L'Aquila,statale,Università,S,A,L'AQUILA,L'AQUILA,ABRUZZO,SUD,Q1494671,University of L'Aquila,Point(13.39725 42.351394444),https://www.univaq.it
06602,Istituto Superiore di Educazione Fisica di L'Aquila,L'Aquila ISEF,non-statale,ISEF,L,M,,L'AQUILA,ABRUZZO,SUD,,,,
06603,Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila,L'Aquila GSSI,statale,Scuola Superiore ad Ordinamento Speciale,S,A,L'AQUILA,L'AQUILA,ABRUZZO,SUD,,,,
06701,Università degli studi di Teramo,Teramo,statale,Università,S,A,TERAMO,TERAMO,ABRUZZO,SUD,Q2303527,University of Teramo,Point(13.700680555 42.669630555),https://www.unite.it
06901,Università degli studi Gabriele D'Annunzio di Chieti e Pescara,Chieti e Pescara,statale,Università,S,A,CHIETI SCALO,CHIETI,ABRUZZO,SUD,,,,
06902,"Università telematica non statale ""Leonardo da Vinci"" di Torrevecchia Teatina (CH)",Torrevecchia Teatina Leonardo da Vinci - telematica,telematica,Universita Telematica,L,A,TORREVECCHIA TEATINA,CHIETI,ABRUZZO,SUD,,,,
07001,Università degli studi del Molise,Molise,statale,Università,S,A,CAMPOBASSO,CAMPOBASSO,MOLISE,SUD,Q1093340,University of Molise,Point(14.6663 41.5562),https://www3.unimol.it/
07101,Università degli studi di Foggia,Foggia,statale,Università,S,A,FOGGIA,FOGGIA,PUGLIA,SUD,Q617446,University of Foggia,Point(15.5690084 41.4483168),https://www.unifg.it
07201,Università degli studi di Bari,Bari,statale,Università,S,A,BARI,BARI,PUGLIA,SUD,Q1236136,University of Bari,Point(16.8684 41.12073),https://www.uniba.it
07202,Politecnico di Bari,Bari Politecnico,statale,Politecnico,S,A,BARI,BARI,PUGLIA,SUD,Q1054324,Polytechnic University of Bari,Point(16.883233333 41.111383611),https://www.poliba.it
07203,"Libera Università Mediterranea ""Giuseppe Degennaro""",Casamassima – LUM G. Degennaro,non-statale,Università,L,A,CASAMASSIMA,BARI,PUGLIA,SUD,,,,
07501,Università del Salento,Salento,statale,Università,S,A,LECCE,LECCE,PUGLIA,SUD,Q1230902,University of Salento,Point(18.166388888 40.352777777),https://www.unisalento.it/web/guest/home_page
07601,Università degli studi della Basilicata,Basilicata,statale,Università,S,A,POTENZA,POTENZA,BASILICATA,SUD,Q1084383,University of Basilicata,Point(15.8085 40.6471),http://portale.unibas.it/site/home.html
07801,Università della Calabria,Calabria,statale,Università,S,A,ARCAVACATA DI RENDE,COSENZA,CALABRIA,SUD,Q1752540,University of Calabria,Point(16.2265 39.3637),https://www.unical.it
07901,Università degli studi di Catanzaro - Magna Grecia,Catanzaro,statale,Università,S,A,CATANZARO,CATANZARO,CALABRIA,SUD,Q266537,Magna Græcia University,Point(16.57305556 38.8675),https://web.unicz.it
08001,Università degli studi Mediterranea di Reggio Calabria,Reggio Calabria,statale,Università,S,A,REGGIO CALABRIA,REGGIO CALABRIA,CALABRIA,SUD,Q1780716,Mediterranea University of Reggio Calabria,Point(15.6592122 38.1208332),http://www.unirc.it
08003,"Università per stranieri ""Dante Alighieri"" di Reggio Calabria",Reggio Calabria - Dante Alighieri,non-statale,Università,L,A,REGGIO CALABRIA,REGGIO CALABRIA,CALABRIA,SUD,Q4005936,"University for Foreigners ""Dante Alighieri"" of Reggio Calabria",Point(15.6459 38.1083),https://www.unidarc.it/
08201,Università degli studi di Palermo,Palermo,statale,Università,S,A,PALERMO,PALERMO,SICILIA,ISOLE,Q1641504,University of Palermo,Point(13.370131 38.11768),https://www.unipa.it/
08202,Istituto Superiore di Educazione Fisica di Palermo,Palermo ISEF,non-statale,ISEF,L,M,,PALERMO,SICILIA,ISOLE,,,,
08301,Università degli studi di Messina,Messina,statale,Università,S,A,MESSINA,MESSINA,SICILIA,ISOLE,Q1245318,University of Messina,Point(15.54611 38.19241),https://www.unime.it
08601,"Libera Università della Sicilia Centrale ""KORE"" di Enna",Enna KORE,non-statale,Università,L,A,ENNA BASSA,ENNA,SICILIA,ISOLE,,,,
08701,Università degli studi di Catania,Catania,statale,Università,S,A,CATANIA,CATANIA,SICILIA,ISOLE,Q1248821,University of Catania,Point(15.0867 37.5036),https://www.unict.it
09001,Università degli studi di Sassari,Sassari,statale,Università,S,A,SASSARI,SASSARI,SARDEGNA,ISOLE,Q532822,University of Sassari,Point(8.55975 40.7248),https://www.uniss.it
09201,Università degli studi di Cagliari,Cagliari,statale,Università,S,A,CAGLIARI,CAGLIARI,SARDEGNA,ISOLE,Q2067315,University of Cagliari,Point(9.115 39.216944444),https://www.unica.it/
